Country,1990,2005,2017,2021
World,22674.12,30049.81,37077.4,37857.58
World – International Aviation,258.941,422.777,543.381,
World – International Shipping,371.804,572.169,677.248,
Afghanistan,2.546,1.063,11.422,8.35
Albania,6.583,4.196,5.026,4.59
Algeria,65.677,98.197,159.929,173
Angola,5.851,15.975,30.876,24.45
Anguilla,0.006,0.014,0.028,0.03
Antigua and Barbuda,0.223,0.283,0.624,0.78
Argentina,112.434,165.429,209.968,189
Armenia,20.699,4.542,4.832,6.77
Aruba,0.297,0.47,0.959,1.27
Australia,275.408,391.59,402.253,367.91
Austria,62.918,80.994,72.249,66.01
Azerbaijan,58.077,30.485,32.544,37.11
Bahamas,1.524,2.068,2.997,4.04
Bahrain,11.988,23.388,35.775,37.49
Bangladesh,13.868,38.834,84.546,106.87
Barbados,0.776,2.162,3.172,1.77
Belarus,109.069,61.396,62.34,58.36
Belgium,115.903,118.708,104.221,95.92
Belize,0.188,0.44,0.44,0.64
Benin,0.415,2.839,7.097,8.63
Bermuda,0.335,0.284,0.429,0.82
Bhutan,0.208,0.515,1.454,1.98
Bolivia,6.287,9.998,20.462,22.43
Bosnia and Herzegovina,24.559,16.89,25.618,15.37
Botswana,2.818,4.465,7.913,7
Brazil,228.603,380.765,492.791,489.86
British Virgin Islands,0.026,0.032,0.149,0.18
Brunei,3.397,5.174,6.711,7.21
Bulgaria,82.271,52.032,49.568,43.64
Burkina Faso,0.38,1.038,3.399,5.29
Burundi,0.21,0.307,0.289,0.71
Cambodia,0.407,2.686,10.56,16.96
Cameroon,7.097,5.52,9.768,10.2
Canada,455.827,581.267,617.301,563.54
Cape Verde,0.049,0.227,0.955,0.92
Cayman Islands,0.148,0.188,0.493,0.86
Central African Republic,0.159,0.246,0.486,0.28
Chad,0.268,0.383,0.925,2.21
Chile,32.654,59.747,90.325,85.7
China,2397.05,6263.06,10877.22,12466.32
Colombia,51.919,60.61,74.954,77.57
Comoros,0.049,0.115,0.206,0.28
Congo,0.902,4.359,5.514,7.37
Cook Islands,0.043,0.058,0.047,0.11
Costa Rica,2.913,6.306,8.138,8.09
Croatia,25.164,23.634,17.466,18
Cuba,37.109,26.165,31.277,24.61
Curaçao,5.474,4.774,7.519,2.04
Cyprus,4.54,7.883,7.035,6.75
Czech Republic,162.835,127.157,109.756,97.69
Democratic Republic of the Congo,3.441,2.589,3.496,3.37
Denmark,53.705,51.485,33.573,27.28
Djibouti,1.101,1.469,1.014,0.61
Dominica,0.033,0.035,0.122,0.19
Dominican Republic,8.024,19.409,23.111,27.73
East Timor,0.13,0.272,0.422,0.57
Ecuador,16.119,28.32,39.507,41.14
Egypt,90.783,176.329,258.668,259.32
El Salvador,2.633,6.905,7.857,8.18
Equatorial Guinea,0.097,3.371,2.469,7
Eritrea,0.214,0.688,0.737,0.84
Estonia,38.467,19.643,17.89,14.91
Eswatini,0.602,1.541,1.247,1.51
Ethiopia,2.39,5.327,14.9,19.21
European Union,4409.34,4250,3548.35,2774.93
Falkland Islands,0.013,0.016,0.038,0.05
Faroe Islands,0.001,0.002,0.002,0.002
Fiji,1.028,2.174,1.44,1.73
Finland,57.242,58.36,46.846,38.99
France  Monaco,386.214,408.158,338.193,302.33
French Guiana,0.371,0.491,0.719,0.84
French Polynesia,0.839,0.785,0.636,0.97
Gabon,4.857,6.394,6.564,5.52
Georgia,34.745,4.979,11.558,11.65
Germany,1018.1,837.284,796.529,665.88
Ghana,3.195,7.329,18.626,23.64
Gibraltar,0.144,0.406,0.627,0.67
Greece,79.201,104.835,72.145,53.37
Greenland,0.003,0.631,0.518,0.46
Grenada,0.075,0.125,0.28,0.34
Guadeloupe,0.875,1.035,2.257,1.81
Guatemala,3.874,11.674,17.76,20.19
Guinea,1.074,1.119,2.731,3.44
Guinea-Bissau,0.196,0.289,0.409,0.32
Guyana,0.337,0.725,1.771,2.9
Haiti,1.147,2.234,3.521,3.24
Honduras,2.351,7.806,10.562,9.75
Hong Kong,34.182,41.916,44.715,33.21
Hungary,71.929,59.758,50.856,50.69
Iceland,2.346,3.17,4.097,2.91
India,605.968,1210.75,2454.77,2648.78
Indonesia,162,359.989,511.327,602.59
Iran,206.78,467.905,671.45,710.83
Iraq,69.262,89.103,199.296,177.85
Ireland,32.852,47.277,38.914,35.01
Israel,35.291,62.149,66.916,59.59
Italy  San Marino  Vatican City,430.762,498.205,361.176,319.67
Ivory Coast,3.02,6.392,12.505,14.54
Jamaica,7.525,10.631,7.546,8.08
Japan,1149.4,1276.86,1320.78,1084.69
Jordan,10.208,19.755,24.565,24.3
Kazakhstan,250.382,182.369,266.207,211.21
Kenya,6.467,8.787,18.594,22.43
Kiribati,0.02,0.033,0.03,0.08
Kuwait,31.414,75.218,97.151,98.08
Kyrgyzstan,23.696,5.475,11.18,10.78
Laos,0.211,1.038,2.818,20.56
Latvia,20.141,8.242,8.049,7.21
Lebanon,5.977,16.505,23.102,25.77
Lesotho,0.1,0.175,0.754,0.65
Liberia,0.416,0.473,1.129,1.44
Libya,37.143,56.7,57.584,63.28
Lithuania,35.314,14.075,15.311,13.82
Luxembourg,11.75,12.156,9.54,8.45
Macau,0.982,1.624,1.28,2.66
Madagascar,0.7,2.22,4.156,5.3
Malawi,0.457,1.437,1.572,1.82
Malaysia,59.225,182.503,258.783,251.56
Maldives,0.065,0.479,0.964,2.21
Mali,0.383,0.543,0.951,5.92
Malta,2.352,2.769,1.876,1.75
Martinique,0.944,1.12,2.374,1.9
Mauritania,0.684,2.911,2.962,4.26
Mauritius,1.191,2.977,3.993,4.13
Mexico,290.355,448.171,507.183,418.35
Moldova,31.957,8.139,8.263,9.55
Mongolia,13.151,11.083,25.747,24.99
Morocco,22.386,44.368,61.584,73.97
Mozambique,1.183,2.703,7.754,8.64
Myanmar,4.401,11.146,28.462,40.05
Namibia,1.542,2.504,4.299,4.07
Nepal,1.066,3.298,8.218,14.31
Netherlands,161.447,181.433,174.77,146.87
New Caledonia,1.623,2.453,5.912,5.7
New Zealand,24.006,36.746,36.795,32.6
Nicaragua,1.945,4.312,5.919,5
Niger,0.875,0.796,2.497,2.47
Nigeria,68.581,100.196,94.847,127.03
North Korea,131.365,79.568,37.774,62.57
North Macedonia,11.189,9.694,8.049,7.51
Norway,51.454,55.403,52.492,42.33
Oman,11.884,32.964,78.421,94.62
Pakistan,66.27,130.354,197.297,219.79
Palau,2.155,1.734,1.411,1.32
Panama,2.735,7.204,12.256,12.51
Papua New Guinea,2.307,4.379,4.351,6.57
Paraguay,2.263,3.934,6.535,8.89
Peru,21.039,31.692,55.931,55.14
Philippines,43.623,81.261,137.154,147.96
Poland,371.139,316.256,319.028,320.77
Portugal,43.672,68.077,56.771,38.68
Puerto Rico,2.064,2.272,2.164,1.26
Qatar,16.291,43.435,97.787,97.69
Réunion,1.01,2.367,2.916,2.58
Romania,187.142,104.713,81.131,78.75
Russia,2378.92,1733.95,1764.87,1942.54
Rwanda,0.525,0.748,1.106,1.24
"Saint Helena, Ascension and Tristan da Cunha",0.01,0.01,0.015,0.02
Saint Kitts and Nevis,0.034,0.063,0.238,0.29
Saint Lucia,0.076,0.158,0.364,0.71
Saint Pierre and Miquelon,0.148,0.031,0.075,0.09
Saint Vincent and the Grenadines,0.038,0.095,0.179,0.23
Samoa,0.129,0.121,0.147,0.36
São Tomé and Príncipe,0.047,0.057,0.157,0.15
Saudi Arabia,166.172,339.441,638.762,586.4
Senegal,2.397,5.8,9.689,11.98
Serbia & Montenegro,66.388,61.497,62.487,39.35
Seychelles,0.288,0.678,0.968,1.05
Sierra Leone,0.741,0.493,1.309,1.01
Singapore,31.623,42.998,55.018,58.18
Slovakia,60.537,42.194,37.855,37.48
Slovenia,16.623,18.3,15.209,14.17
Solomon Islands,0.133,0.187,0.146,0.33
Somalia,0.695,0.765,0.927,0.76
South Africa,312.463,433.17,467.654,435.52
South Korea,270.056,514.946,673.324,626.8
Spain  Andorra,229.966,368.948,282.364,231.91
Sri Lanka,4.187,14.421,23.978,23.86
Sudan  South Sudan,5.536,10.773,21.056,21.37
Suriname,0.908,1.686,2.213,2.71
Sweden,58.117,55.877,50.874,38.92
Switzerland  Liechtenstein,44.955,47.161,39.738,35.07
Syria,33.876,25.582,28.377,25.86
Taiwan,124.383,269.099,279.74,288.16
Tajikistan,12.267,3.263,5.699,10.13
Tanzania,2.096,5.78,14.65,13.41
Thailand,93.009,225.613,279.296,269.57
The Gambia,0.149,0.235,0.554,0.56
Togo,0.765,1.327,2.843,2.26
Tonga,0.064,0.12,0.136,0.17
Trinidad and Tobago,14.895,34.45,37.745,28.99
Tunisia,14.705,23.355,31.63,31.79
Turkey,149.893,246.169,429.563,449.72
Turkmenistan,45.628,52.851,72.474,83.32
Turks and Caicos Islands,0.007,0.005,0.165,0.25
Uganda,0.644,1.664,5.042,6.82
Ukraine,783.21,354.429,205.723,185.46
United Arab Emirates,56.922,122.395,202.802,193.51
United Kingdom,589.038,561.543,379.15,335.36
United States,5085.9,5971.57,5107.39,4752.08
Uruguay,3.893,5.483,6.93,6.79
Uzbekistan,123.106,116.386,95.35,125.65
Vanuatu,0.13,0.063,0.091,0.22
Venezuela,109.268,152.464,145.877,104.67
Vietnam,20.182,99.231,218.729,321.41
Western Sahara,0.144,0.227,0.276,0.24
Yemen,6.887,21.768,12.503,12.05
Zambia,2.955,2.457,4.967,7.01
Zimbabwe,17.178,11.388,12.087,12.29
